global_round,started_at,finished_at,round_time,n_expected,n_received,avg_local_train_time,avg_model_delta_norm,avg_staleness,hosts
1,1761477055.461204,1761477058.6815436,3.22033953666687,3,3,0.0289,196.308384,0,"10.0.1.1,10.0.2.1,10.0.1.1"
2,1761477058.681545,1761477060.437329,1.755784034729004,3,3,0.010233,194.100636,0,"10.0.2.1,10.0.1.1,10.0.2.1"
3,1761477060.4373307,1761477061.4681733,1.0308425426483154,3,3,0.014,196.515395,0,"10.0.1.1,10.0.1.1,10.0.2.1"
4,1761477061.4681747,1761477065.3006709,3.832496166229248,3,3,0.020167,198.967667,0,"10.0.1.1,10.0.2.1,10.0.1.1"
5,1761477065.3006732,1761477066.5409863,1.2403130531311035,3,3,0.014167,197.113206,0,"10.0.2.1,10.0.1.1,10.0.2.1"
6,1761477066.5409887,1761477069.3836076,2.842618942260742,3,3,0.016967,205.147379,0,"10.0.1.1,10.0.2.1,10.0.1.1"
7,1761477069.3836083,1761477071.6242516,2.240643262863159,3,3,0.016933,195.6054,0,"10.0.2.1,10.0.1.1,10.0.2.1"
8,1761477071.624253,1761477073.4634066,1.839153528213501,3,3,0.013533,189.980351,0,"10.0.1.1,10.0.2.1,10.0.1.1"
9,1761477073.4634078,1761477075.6944377,2.231029987335205,3,3,0.024,199.853018,0,"10.0.2.1,10.0.1.1,10.0.2.1"
10,1761477075.6944396,1761477078.1311178,2.436678171157837,3,3,0.026633,196.031597,0,"10.0.1.1,10.0.2.1,10.0.1.1"
11,1761477078.1311207,1761477079.7535958,1.6224751472473145,3,3,0.010233,195.828952,0,"10.0.2.1,10.0.1.1,10.0.2.1"
12,1761477079.753598,1761477081.7896287,2.0360307693481445,3,3,0.021733,197.253393,0,"10.0.1.1,10.0.1.1,10.0.2.1"
13,1761477081.7896295,1761477084.2554429,2.465813398361206,3,3,0.010167,191.402428,0,"10.0.1.1,10.0.2.1,10.0.1.1"
14,1761477084.2554438,1761477085.8475854,1.5921416282653809,3,3,0.0177,189.175173,0,"10.0.2.1,10.0.1.1,10.0.2.1"
15,1761477085.847587,1761477087.8775575,2.029970407485962,3,3,0.013467,197.426771,0,"10.0.1.1,10.0.1.1,10.0.2.1"
16,1761477087.8775585,1761477089.9060197,2.028461217880249,3,3,0.013733,205.115989,0,"10.0.1.1,10.0.1.1,10.0.2.1"
17,1761477089.9060204,1761477091.9175577,2.0115373134613037,3,3,0.0105,188.191484,0,"10.0.1.1,10.0.2.1,10.0.1.1"
18,1761477091.9175584,1761477093.9778945,2.060336112976074,3,3,0.020733,201.626364,0,"10.0.2.1,10.0.1.1,10.0.2.1"
19,1761477093.9778955,1761477096.012414,2.0345184803009033,3,3,0.0115,191.71692,0,"10.0.1.1,10.0.2.1,10.0.1.1"
20,1761477096.0124152,1761477097.5568259,1.5444107055664062,3,3,0.0102,194.584469,0,"10.0.1.1,10.0.2.1,10.0.1.1"
21,1761477097.5568273,1761477099.5913486,2.0345213413238525,3,3,0.0137,192.37624,0,"10.0.2.1,10.0.1.1,10.0.1.1"
22,1761477099.5913506,1761477100.5736525,0.9823019504547119,3,3,0.010533,190.683587,0,"10.0.2.1,10.0.1.1,10.0.2.1"
23,1761477100.5736544,1761477102.1785789,1.6049244403839111,3,3,0.0106,186.37594,0,"10.0.1.1,10.0.2.1,10.0.1.1"
24,1761477102.17858,1761477103.1204283,0.9418482780456543,3,3,0.0102,192.273979,0,"10.0.2.1,10.0.1.1,10.0.2.1"
25,1761477103.1204293,1761477105.7474637,2.6270344257354736,3,3,0.013533,194.032142,0,"10.0.1.1,10.0.2.1,10.0.1.1"
26,1761477105.747465,1761477106.6991541,0.9516892433166504,3,3,0.0167,193.299222,0,"10.0.2.1,10.0.1.1,10.0.2.1"
27,1761477106.6991556,1761477108.8654432,2.166287660598755,3,3,0.010867,192.430236,0,"10.0.1.1,10.0.2.1,10.0.1.1"
28,1761477108.8654454,1761477110.277137,1.411691665649414,3,3,0.013833,190.594123,0,"10.0.2.1,10.0.1.1,10.0.2.1"
29,1761477110.2771382,1761477112.3096523,2.0325140953063965,3,3,0.014367,193.308527,0,"10.0.2.1,10.0.1.1,10.0.2.1"
30,1761477112.3096533,1761477114.383287,2.0736336708068848,3,3,0.0105,193.535068,0,"10.0.2.1,10.0.1.1,10.0.2.1"
31,1761477114.3832881,1761477114.9767792,0.5934910774230957,3,3,0.0105,191.985944,0,"10.0.1.1,10.0.2.1,10.0.1.1"
32,1761477114.97678,1761477116.936062,1.9592821598052979,3,3,0.0105,182.871922,0,"10.0.2.1,10.0.1.1,10.0.2.1"
33,1761477116.936063,1761477118.5579515,1.6218883991241455,3,3,0.017733,201.798082,0,"10.0.1.1,10.0.2.1,10.0.1.1"
34,1761477118.5579522,1761477121.0092337,2.4512815475463867,3,3,0.010267,195.084352,0,"10.0.2.1,10.0.1.1,10.0.2.1"
35,1761477121.0092347,1761477122.043132,1.0338973999023438,3,3,0.011,194.245137,0,"10.0.1.1,10.0.2.1,10.0.2.1"
36,1761477122.043133,1761477123.0574644,1.014331340789795,3,3,0.010233,189.873038,0,"10.0.1.1,10.0.1.1,10.0.2.1"
37,1761477123.057465,1761477124.6833375,1.6258723735809326,3,3,0.0106,195.237568,0,"10.0.1.1,10.0.2.1,10.0.1.1"
38,1761477124.6833396,1761477126.203275,1.5199353694915771,3,3,0.0108,203.69712,0,"10.0.2.1,10.0.2.1,10.0.1.1"
39,1761477126.203277,1761477127.2754395,1.072162389755249,3,3,0.012767,203.956364,0,"10.0.1.1,10.0.2.1,10.0.1.1"
40,1761477127.2754407,1761477129.199659,1.9242184162139893,3,3,0.010233,204.228228,0,"10.0.2.1,10.0.1.1,10.0.2.1"
41,1761477129.19966,1761477130.736613,1.5369529724121094,3,3,0.013533,197.435644,0,"10.0.2.1,10.0.1.1,10.0.2.1"
42,1761477130.736614,1761477132.8603067,2.123692750930786,3,3,0.010667,191.380412,0,"10.0.1.1,10.0.2.1,10.0.1.1"
43,1761477132.8603094,1761477133.8014324,0.9411230087280273,3,3,0.0104,193.790712,0,"10.0.2.1,10.0.1.1,10.0.2.1"
44,1761477133.801433,1761477134.91506,1.1136269569396973,3,3,0.0105,187.855493,0,"10.0.1.1,10.0.2.1,10.0.1.1"
45,1761477134.915061,1761477136.8674026,1.9523415565490723,3,3,0.010767,191.691451,0,"10.0.2.1,10.0.1.1,10.0.2.1"
46,1761477136.8674035,1761477137.9845243,1.1171207427978516,3,3,0.011267,194.776945,0,"10.0.1.1,10.0.2.1,10.0.1.1"
47,1761477137.9845252,1761477139.4275935,1.443068265914917,3,3,0.010233,188.638149,0,"10.0.2.1,10.0.1.1,10.0.2.1"
48,1761477139.427595,1761477141.0511835,1.6235885620117188,3,3,0.014133,205.815978,0,"10.0.1.1,10.0.2.1,10.0.1.1"
49,1761477141.0511847,1761477142.5110362,1.4598515033721924,3,3,0.010533,190.742279,0,"10.0.2.1,10.0.1.1,10.0.2.1"
50,1761477142.5110366,1761477143.1169767,0.6059401035308838,3,3,0.0118,191.452583,0,"10.0.1.1,10.0.2.1,10.0.1.1"
51,1761477143.116978,1761477145.5824718,2.46549391746521,3,3,0.0104,194.38746,0,"10.0.2.1,10.0.1.1,10.0.2.1"
52,1761477145.5824733,1761477146.167964,0.5854907035827637,3,3,0.0103,184.539829,0,"10.0.1.1,10.0.2.1,10.0.1.1"
53,1761477146.167965,1761477147.652471,1.4845061302185059,3,3,0.0102,197.611915,0,"10.0.2.1,10.0.1.1,10.0.2.1"
54,1761477147.6524715,1761477149.2390683,1.5865967273712158,3,3,0.010467,193.541679,0,"10.0.1.1,10.0.2.1,10.0.1.1"
55,1761477149.239069,1761477150.713961,1.4748919010162354,3,3,0.012433,198.591399,0,"10.0.2.1,10.0.1.1,10.0.2.1"
56,1761477150.713962,1761477153.336725,2.62276291847229,3,3,0.022267,193.334945,0,"10.0.1.1,10.0.2.1,10.0.1.1"
57,1761477153.3367264,1761477154.8139784,1.4772520065307617,3,3,0.017,188.409785,0,"10.0.2.1,10.0.1.1,10.0.2.1"
58,1761477154.8139791,1761477157.4322515,2.618272304534912,3,3,0.014433,197.136033,0,"10.0.1.1,10.0.2.1,10.0.1.1"
59,1761477157.4322526,1761477158.8951626,1.4629099369049072,3,3,0.014133,199.315647,0,"10.0.2.1,10.0.1.1,10.0.2.1"
60,1761477158.8951635,1761477160.4934475,1.5982840061187744,3,3,0.010267,196.572631,0,"10.0.1.1,10.0.2.1,10.0.1.1"
61,1761477160.4934483,1761477161.9536996,1.4602513313293457,3,3,0.012467,191.072114,0,"10.0.2.1,10.0.1.1,10.0.2.1"
62,1761477161.9537003,1761477163.569671,1.6159706115722656,3,3,0.013533,195.906517,0,"10.0.1.1,10.0.2.1,10.0.1.1"
63,1761477163.5696728,1761477166.0298293,2.4601564407348633,3,3,0.013867,201.599686,0,"10.0.2.1,10.0.1.1,10.0.2.1"
64,1761477166.0298302,1761477167.6702225,1.6403923034667969,3,3,0.0176,190.343203,0,"10.0.1.1,10.0.2.1,10.0.1.1"
65,1761477167.670226,1761477170.1119864,2.441760301589966,3,3,0.017733,201.02062,0,"10.0.2.1,10.0.1.1,10.0.2.1"
66,1761477170.111988,1761477171.7967641,1.6847760677337646,3,3,0.010233,199.897505,0,"10.0.1.1,10.0.2.1,10.0.1.1"
67,1761477171.796766,1761477173.1809776,1.384211540222168,3,3,0.0103,193.731712,0,"10.0.2.1,10.0.1.1,10.0.2.1"
68,1761477173.180979,1761477174.728839,1.5478599071502686,3,3,0.011367,185.431314,0,"10.0.1.1,10.0.2.1,10.0.2.1"
69,1761477174.7288396,1761477176.2718163,1.5429766178131104,3,3,0.017167,198.526086,0,"10.0.1.1,10.0.1.1,10.0.2.1"
70,1761477176.2718167,1761477178.8438723,2.5720555782318115,3,3,0.018567,197.980773,0,"10.0.1.1,10.0.2.1,10.0.2.1"
71,1761477178.8438728,1761477179.9364278,1.092555046081543,3,3,0.0137,202.692515,0,"10.0.1.1,10.0.2.1,10.0.1.1"
72,1761477179.936429,1761477182.4526334,2.516204357147217,3,3,0.024233,201.553751,0,"10.0.2.1,10.0.1.1,10.0.2.1"
73,1761477182.4526343,1761477184.0295422,1.5769078731536865,3,3,0.0108,192.754583,0,"10.0.1.1,10.0.2.1,10.0.1.1"
74,1761477184.0295427,1761477185.5194466,1.4899039268493652,3,3,0.011133,195.815716,0,"10.0.2.1,10.0.1.1,10.0.2.1"
75,1761477185.5194473,1761477186.589441,1.0699937343597412,3,3,0.010867,189.383661,0,"10.0.1.1,10.0.2.1,10.0.1.1"
76,1761477186.5894423,1761477188.608549,2.019106864929199,3,3,0.018033,195.967617,0,"10.0.2.1,10.0.1.1,10.0.2.1"
77,1761477188.608551,1761477190.7181315,2.1095805168151855,3,3,0.0199,192.636223,0,"10.0.1.1,10.0.2.1,10.0.1.1"
78,1761477190.718134,1761477191.667045,0.948911190032959,3,3,0.010233,210.32438,0,"10.0.2.1,10.0.1.1,10.0.2.1"
79,1761477191.667046,1761477194.2748725,2.6078264713287354,3,3,0.013533,198.372046,0,"10.0.1.1,10.0.2.1,10.0.1.1"
80,1761477194.274873,1761477195.266414,0.9915409088134766,3,3,0.015233,199.063143,0,"10.0.2.1,10.0.1.1,10.0.2.1"
81,1761477195.2664146,1761477197.3387418,2.072327136993408,3,3,0.010267,197.934879,0,"10.0.1.1,10.0.2.1,10.0.1.1"
82,1761477197.338743,1761477198.8174548,1.4787118434906006,3,3,0.0105,191.959718,0,"10.0.2.1,10.0.1.1,10.0.2.1"
83,1761477198.8174558,1761477200.423932,1.6064763069152832,3,3,0.022367,193.757718,0,"10.0.1.1,10.0.2.1,10.0.1.1"
84,1761477200.423933,1761477202.9048629,2.4809298515319824,3,3,0.013433,205.537962,0,"10.0.2.1,10.0.1.1,10.0.2.1"
85,1761477202.9048636,1761477203.5038955,0.599031925201416,3,3,0.013767,195.289477,0,"10.0.1.1,10.0.2.1,10.0.1.1"
86,1761477203.5038965,1761477204.9659367,1.4620401859283447,3,3,0.0102,199.976904,0,"10.0.2.1,10.0.1.1,10.0.2.1"
87,1761477204.9659374,1761477207.0768914,2.1109540462493896,3,3,0.017033,197.085251,0,"10.0.1.1,10.0.2.1,10.0.1.1"
88,1761477207.0768921,1761477209.0467262,1.9698340892791748,3,3,0.010833,189.345932,0,"10.0.2.1,10.0.1.1,10.0.2.1"
89,1761477209.0467288,1761477210.6479135,1.601184606552124,3,3,0.0102,196.148585,0,"10.0.1.1,10.0.2.1,10.0.1.1"
90,1761477210.6479154,1761477211.6179063,0.9699909687042236,3,3,0.0109,193.786704,0,"10.0.2.1,10.0.1.1,10.0.2.1"
91,1761477211.6179073,1761477214.760661,3.1427536010742188,3,3,0.0193,198.931413,0,"10.0.1.1,10.0.2.1,10.0.1.1"
92,1761477214.760663,1761477215.7319283,0.9712653160095215,3,3,0.013467,186.174891,0,"10.0.2.1,10.0.1.1,10.0.2.1"
93,1761477215.731929,1761477216.8101587,1.0782296657562256,3,3,0.010267,199.279146,0,"10.0.1.1,10.0.2.1,10.0.1.1"
94,1761477216.8101604,1761477218.8452647,2.035104274749756,3,3,0.014667,189.467016,0,"10.0.2.1,10.0.2.1,10.0.1.1"
95,1761477218.8452654,1761477220.9068944,2.061629056930542,3,3,0.0146,195.12591,0,"10.0.2.1,10.0.1.1,10.0.1.1"
96,1761477220.906895,1761477221.8555596,0.948664665222168,3,3,0.010267,192.61651,0,"10.0.2.1,10.0.1.1,10.0.2.1"
97,1761477221.8555608,1761477223.4579015,1.6023406982421875,3,3,0.013933,193.638035,0,"10.0.1.1,10.0.2.1,10.0.1.1"
98,1761477223.4579022,1761477224.999088,1.5411858558654785,3,3,0.014533,198.775066,0,"10.0.1.1,10.0.2.1,10.0.1.1"
99,1761477224.9990895,1761477227.5177927,2.5187032222747803,3,3,0.015467,186.138445,0,"10.0.2.1,10.0.1.1,10.0.2.1"
100,1761477227.5177934,1761477229.0883036,1.5705101490020752,3,3,0.013767,200.868257,0,"10.0.1.1,10.0.2.1,10.0.1.1"
101,1761477229.088304,1761477231.0715349,1.9832308292388916,3,3,0.0105,201.883599,0,"10.0.2.1,10.0.1.1,10.0.2.1"
102,1761477231.0715358,1761477233.1656501,2.094114303588867,3,3,0.018733,195.046166,0,"10.0.1.1,10.0.2.1,10.0.1.1"
103,1761477233.1656506,1761477234.1284537,0.9628031253814697,3,3,0.010167,198.953536,0,"10.0.2.1,10.0.1.1,10.0.2.1"
104,1761477234.128455,1761477236.7562196,2.6277647018432617,3,3,0.016833,199.209496,0,"10.0.1.1,10.0.2.1,10.0.1.1"
105,1761477236.7562208,1761477237.7399135,0.9836926460266113,3,3,0.011967,194.463313,0,"10.0.2.1,10.0.1.1,10.0.2.1"
106,1761477237.7399144,1761477239.8357239,2.0958094596862793,3,3,0.017133,192.213392,0,"10.0.1.1,10.0.2.1,10.0.1.1"
107,1761477239.8357244,1761477241.8284214,1.99269700050354,3,3,0.0102,192.560308,0,"10.0.2.1,10.0.1.1,10.0.2.1"
108,1761477241.828422,1761477243.4428856,1.6144635677337646,3,3,0.014967,195.188134,0,"10.0.1.1,10.0.2.1,10.0.1.1"
109,1761477243.4428864,1761477245.9210217,2.478135347366333,3,3,0.014733,198.483925,0,"10.0.2.1,10.0.1.1,10.0.2.1"
110,1761477245.9210234,1761477247.5359144,1.6148910522460938,3,3,0.0135,197.475667,0,"10.0.1.1,10.0.2.1,10.0.1.1"
111,1761477247.5359173,1761477249.48473,1.94881272315979,3,3,0.014033,197.359924,0,"10.0.2.1,10.0.1.1,10.0.2.1"
112,1761477249.484731,1761477251.6410732,2.1563422679901123,3,3,0.013967,186.632265,0,"10.0.1.1,10.0.2.1,10.0.1.1"
113,1761477251.6410742,1761477252.5989513,0.9578771591186523,3,3,0.015267,184.667648,0,"10.0.2.1,10.0.1.1,10.0.2.1"
114,1761477252.5989523,1761477255.2016356,2.6026833057403564,3,3,0.0102,192.758127,0,"10.0.1.1,10.0.2.1,10.0.1.1"
115,1761477255.2016363,1761477256.1615493,0.9599130153656006,3,3,0.021067,191.956754,0,"10.0.2.1,10.0.1.1,10.0.2.1"
116,1761477256.1615503,1761477258.2807136,2.1191632747650146,3,3,0.010367,197.405299,0,"10.0.1.1,10.0.2.1,10.0.1.1"
117,1761477258.2807145,1761477260.233789,1.9530744552612305,3,3,0.0169,196.81345,0,"10.0.2.1,10.0.1.1,10.0.2.1"
118,1761477260.2337897,1761477261.8797522,1.6459624767303467,3,3,0.016533,204.610505,0,"10.0.1.1,10.0.2.1,10.0.1.1"
119,1761477261.8797536,1761477263.9225063,2.042752742767334,3,3,0.014167,186.568186,0,"10.0.2.1,10.0.2.1,10.0.1.1"
120,1761477263.922507,1761477264.8721907,0.949683666229248,3,3,0.012933,189.740223,0,"10.0.2.1,10.0.1.1,10.0.2.1"
121,1761477264.8721917,1761477267.4876113,2.615419626235962,3,3,0.010267,188.197359,0,"10.0.1.1,10.0.2.1,10.0.1.1"
122,1761477267.487613,1761477268.461799,0.9741859436035156,3,3,0.017867,196.989966,0,"10.0.2.1,10.0.1.1,10.0.2.1"
123,1761477268.4617996,1761477270.6154737,2.1536741256713867,3,3,0.0102,203.996628,0,"10.0.1.1,10.0.2.1,10.0.1.1"
124,1761477270.6154742,1761477272.0460048,1.4305305480957031,3,3,0.011933,189.29345,0,"10.0.2.1,10.0.1.1,10.0.2.1"
125,1761477272.0460055,1761477273.6682804,1.6222748756408691,3,3,0.012333,196.829337,0,"10.0.1.1,10.0.2.1,10.0.1.1"
126,1761477273.6682813,1761477274.6055613,0.9372799396514893,3,3,0.011133,204.032999,0,"10.0.2.1,10.0.1.1,10.0.2.1"
127,1761477274.6055622,1761477276.243087,1.6375248432159424,3,3,0.0109,191.445076,0,"10.0.1.1,10.0.2.1,10.0.1.1"
128,1761477276.2430882,1761477277.18888,0.9457917213439941,3,3,0.0118,203.076066,0,"10.0.2.1,10.0.1.1,10.0.2.1"
129,1761477277.1888807,1761477279.304501,2.1156203746795654,3,3,0.0103,200.615834,0,"10.0.1.1,10.0.2.1,10.0.1.1"
130,1761477279.3045015,1761477280.3736372,1.0691356658935547,3,3,0.015433,200.188935,0,"10.0.1.1,10.0.2.1,10.0.1.1"
131,1761477280.3736382,1761477282.7823334,2.4086952209472656,3,3,0.013733,195.299054,0,"10.0.2.1,10.0.1.1,10.0.2.1"
132,1761477282.7823348,1761477284.365701,1.5833661556243896,3,3,0.011,191.020945,0,"10.0.2.1,10.0.1.1,10.0.2.1"
133,1761477284.3657043,1761477285.5069962,1.141291856765747,3,3,0.012167,193.266669,0,"10.0.1.1,10.0.2.1,10.0.1.1"
134,1761477285.5069985,1761477286.942805,1.4358065128326416,3,3,0.010233,200.787986,0,"10.0.2.1,10.0.1.1,10.0.2.1"
135,1761477286.9428067,1761477288.5702374,1.6274306774139404,3,3,0.013533,190.614386,0,"10.0.1.1,10.0.2.1,10.0.1.1"
136,1761477288.5702384,1761477291.0136507,2.4434123039245605,3,3,0.014267,198.380956,0,"10.0.2.1,10.0.1.1,10.0.2.1"
137,1761477291.0136516,1761477292.131398,1.117746353149414,3,3,0.010167,193.961424,0,"10.0.1.1,10.0.2.1,10.0.1.1"
138,1761477292.131399,1761477293.0682166,0.9368176460266113,3,3,0.0105,201.803145,0,"10.0.2.1,10.0.1.1,10.0.2.1"
139,1761477293.0682173,1761477296.195646,3.1274287700653076,3,3,0.0172,196.105329,0,"10.0.1.1,10.0.2.1,10.0.1.1"
140,1761477296.195647,1761477297.1408494,0.9452023506164551,3,3,0.0119,191.112819,0,"10.0.2.1,10.0.1.1,10.0.2.1"
141,1761477297.14085,1761477298.752637,1.6117868423461914,3,3,0.010233,195.718247,0,"10.0.1.1,10.0.2.1,10.0.1.1"
142,1761477298.7526402,1761477300.6975803,1.9449400901794434,3,3,0.010167,191.755292,0,"10.0.2.1,10.0.1.1,10.0.2.1"
143,1761477300.6975815,1761477302.8452508,2.1476693153381348,3,3,0.0198,192.727621,0,"10.0.1.1,10.0.2.1,10.0.1.1"
144,1761477302.8452523,1761477304.3182552,1.4730029106140137,3,3,0.0137,197.503351,0,"10.0.2.1,10.0.1.1,10.0.2.1"
145,1761477304.3182561,1761477305.3367624,1.0185062885284424,3,3,0.0149,189.500639,0,"10.0.1.1,10.0.1.1,10.0.2.1"
146,1761477305.3367634,1761477308.3868775,3.050114154815674,3,3,0.017633,196.509743,0,"10.0.1.1,10.0.2.1,10.0.2.1"
147,1761477308.386878,1761477309.411052,1.0241739749908447,3,3,0.0102,199.714809,0,"10.0.1.1,10.0.1.1,10.0.2.1"
148,1761477309.4110534,1761477311.029095,1.6180415153503418,3,3,0.0102,191.3668,0,"10.0.1.1,10.0.2.1,10.0.1.1"
149,1761477311.029096,1761477312.5638564,1.5347604751586914,3,3,0.013633,199.213393,0,"10.0.2.1,10.0.2.1,10.0.1.1"
150,1761477312.5638573,1761477315.1249378,2.5610804557800293,3,3,0.017533,192.140154,0,"10.0.1.1,10.0.2.1,10.0.1.1"
151,1761477315.1249397,1761477316.571724,1.446784257888794,3,3,0.017233,204.193435,0,"10.0.2.1,10.0.1.1,10.0.2.1"
152,1761477316.5717256,1761477319.2195837,2.647858142852783,3,3,0.015367,196.133142,0,"10.0.1.1,10.0.2.1,10.0.1.1"
153,1761477319.219585,1761477320.659416,1.439831018447876,3,3,0.013733,195.749243,0,"10.0.2.1,10.0.1.1,10.0.2.1"
154,1761477320.6594188,1761477322.2834878,1.6240689754486084,3,3,0.0102,201.020674,0,"10.0.1.1,10.0.2.1,10.0.1.1"
1,1761477493.6259935,1761477497.218004,3.592010498046875,3,3,0.023533,199.070743,0,"10.0.1.1,10.0.2.1,10.0.1.1"
2,1761477497.218005,1761477498.5799148,1.3619098663330078,3,3,0.0103,193.521277,0,"10.0.2.1,10.0.1.1,10.0.2.1"
3,1761477498.5799177,1761477501.2981987,2.7182810306549072,3,3,0.020533,193.142303,0,"10.0.1.1,10.0.2.1,10.0.1.1"
4,1761477501.2982001,1761477503.71014,2.411939859390259,3,3,0.022167,201.956673,0,"10.0.2.1,10.0.1.1,10.0.2.1"
5,1761477503.7101414,1761477505.3717775,1.6616361141204834,3,3,0.010367,196.894889,0,"10.0.1.1,10.0.2.1,10.0.1.1"
6,1761477505.371778,1761477507.828532,2.456753969192505,3,3,0.023667,188.022013,0,"10.0.2.1,10.0.1.1,10.0.2.1"
7,1761477507.8285327,1761477510.4494302,2.6208975315093994,3,3,0.013,205.418447,0,"10.0.1.1,10.0.2.1,10.0.1.1"
